Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,lat,lon
Bulgaria,2023-03-02,1296913,60,38217.0,0.0,1255709.0,47,2987.0,26,11058270.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-03,1297006,93,38219.0,2.0,1255859.0,150,2928.0,25,11061072.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-04,1297037,31,38219.0,0.0,1255861.0,2,2957.0,25,11061733.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-05,1297062,25,38219.0,0.0,1255863.0,2,2980.0,24,11062249.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-06,1297062,25,38219.0,0.0,1255863.0,2,2980.0,24,11062249.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-07,1297243,181,38219.0,0.0,1256028.0,165,2996.0,26,11066587.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-08,1297358,115,38222.0,3.0,1256083.0,55,3053.0,26,11069682.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-09,1297451,93,38225.0,3.0,1256205.0,122,3021.0,25,11072204.0,6844597,Europe,5,42.6073975,25.4856617
Bulgaria,2023-03-10,1297630,107,38229.0,1.0,1256704.0,423,2697.0,26,11077073.0,6844597,Europe,5,42.6073975,25.4856617
Burkina Faso,2023-03-02,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-03,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-04,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-05,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-06,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-07,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
Burkina Faso,2023-03-08,22056,0,396.0,0.0,21596.0,0,64.0,0,248995.0,22102838,Africa,"1,002",12.0753083,-1.6880314
